gene_symbol,logFC,logCPM,F,PValue,FDR
SLC25A39,4.700373096002562,10.440467237744656,9.601505284434126,0.006106904377981389,0.36890626906244345
PALD1,2.9835091163397696,5.226866419180856,9.560369197136541,0.006134750790388331,0.36890626906244345
CALN1,-2.645960471149179,4.029388014670314,9.347244739204186,0.006163400363937607,0.36890626906244345
IRF7,2.7082901630129594,6.739339798688727,9.570279286901851,0.006182308424077363,0.36890626906244345
CYTH4,2.4877772241611713,7.2532370965566395,9.54450714714847,0.006237411971815514,0.36890626906244345
RUBCNL,1.922035352895755,7.110670779719069,9.517563977206844,0.006297531756505223,0.36890626906244345
GDPD1,-2.9508541975883134,3.684844214641142,9.125819879052193,0.006299317565020749,0.36890626906244345
ODAD4,2.852195631442864,5.260971365454282,9.48785132457379,0.006314702593438894,0.36890626906244345
IGHD,4.510675656523985,4.177342745538672,9.321824768891918,0.006377991625279262,0.37050946403261537
NLRC5,2.3257552682420077,6.447013598352833,9.47011116003557,0.006409614692360641,0.37050946403261537
SNCA,4.28811399202694,9.070176357674782,9.345006918447796,0.006695189670517998,0.38499093272931506
DMTN,5.095422168015356,7.522632536696336,9.182126472891117,0.007037575300482647,0.40252504847256776
BLNK,1.7679511720617327,7.370271460781137,9.171422793176715,0.007128273022780417,0.40252504847256776
ATP7B,-2.499731939192603,4.257800619406768,9.032971700225733,0.0071647984419484,0.40252504847256776
SH3RF3,4.724750124967139,3.5935916370781387,9.06350986750482,0.007168370178854329,0.40252504847256776
CDKN2D,2.3777441162603234,5.792829851422822,9.106159214974745,0.007303402513075007,0.40252504847256776
MEIS1,-1.7023001380440868,5.728841158064585,9.101512015108424,0.007334496027722857,0.40252504847256776
LGALS3BP,2.927047094517807,5.83156591405749,9.084228155740991,0.007339750439020794,0.40252504847256776
SPTLC3,-2.6586547613295464,2.965291374004255,8.52262483599425,0.0073650834163468595,0.40252504847256776
PKP2,-2.8405569535563946,3.3099439181388113,8.636614514347672,0.0073957506349848455,0.40252504847256776
CSF1,-2.6942235518598254,4.382889537971859,8.92677847032893,0.0074048062731429595,0.40252504847256776
PTGS2,-2.602317176337356,4.59945272977221,8.981979264726707,0.007409714008247024,0.40252504847256776
EVA1C,-5.302702510008064,1.3718921100598107,9.667221501319725,0.007439914853858805,0.40252504847256776
CMBL,-2.4363857546860217,4.235927752644952,8.893064497969668,0.007517453808578968,0.4043525017838246
FAXDC2,4.027386499829889,6.283072786296306,8.97167653187546,0.0075847798115070445,0.4043525017838246
GRB10,-2.033409988253552,5.672914719227344,9.00055772988331,0.007603891340319807,0.4043525017838246
TCF7,5.562326144682132,4.838305943191266,8.862926037965087,0.00765999206243964,0.4043525017838246
THEM5,9.321560647375978,4.398756571833888,9.103138573873698,0.007674981521570719,0.4043525017838246
TESC,2.6598136614814125,5.828222241795031,8.959292484615695,0.007694589171703481,0.4043525017838246
KHDRBS2,-2.831177194744972,2.4126356252379386,8.286692343648761,0.0077913798493056755,0.40593112637987966
MYC,-1.7492879910107502,6.623596661216193,8.911876750956909,0.007849012060483641,0.40593112637987966
INSL6,7.089387914468452,4.1093048659469,8.986885628104112,0.007882648999882974,0.40593112637987966
DERL3,4.530558132333367,5.3792204722452865,8.762583994782466,0.007899860224383583,0.40593112637987966
SPOCK2,4.185171523452529,4.293831361622744,8.727674541886847,0.007909429212901234,0.40593112637987966
RAP1GAP,7.204872366829405,5.979298726522527,8.802809222728726,0.007980469560995324,0.4066680859676031
ZNF521,-2.306903289763644,4.887661103888911,8.828521115851592,0.007997842717745814,0.4066680859676031
SLC25A35,-2.9785693041643486,2.39773330087373,8.203450226324653,0.008083473912183463,0.4069401383918371
HOXA3,-2.2725520576802243,4.186168398826306,8.70443458102629,0.008118688647726646,0.4069401383918371
RNF24,-1.4850780322602983,6.670004675820816,8.814260339078297,0.008132039571484732,0.4069401383918371
TP53I11,3.2481020314872326,4.43808297934552,8.682634099655946,0.008211044280685281,0.4069401383918371
TENT5C,4.59126247825051,9.891572718194828,8.7793089052681,0.008221646963658335,0.4069401383918371
CA8,4.1074156354188265,3.118189889368499,8.621207483752817,0.008266697966879979,0.4069401383918371
GAD1,-2.6781918809941203,3.5400112999817286,8.402525518754324,0.00831756633932674,0.4069401383918371
MYL4,4.466463166881018,5.718715172868674,8.658080518030074,0.008321366327834699,0.4069401383918371
RNF217,-2.020099033537588,4.662046490542269,8.711860998711938,0.008336659486311878,0.4069401383918371
CSGALNACT1,2.479297224758699,5.845324148900802,8.72807126880618,0.008384316334270977,0.4074555145986643
SMPD3,2.965557661717011,5.514562685128039,8.680573085778684,0.008485136903495644,0.41053858418983546
EPB41,3.3739969047589597,7.387415363453738,8.67541513030886,0.008546225443532675,0.4111084374070884
GPR65,3.6338754068574493,4.807738287424743,8.575050533178068,0.008577652131733138,0.4111084374070884
TRH,3.1105168190475805,4.961821888595492,8.612202307900825,0.008609208832161553,0.4111084374070884
PTPRE,1.5750157300023961,8.747652868237942,8.631608451011866,0.008680162639351835,0.41201854266226756
EMCN,-2.620097450244026,2.9701237066321484,8.155647754875408,0.008708498620035497,0.41201854266226756
PROK2,-3.018963492183149,4.015818329427993,8.377897802775818,0.00874081038334775,0.41201854266226756
IFIT2,3.0314855522374513,4.52452036996972,8.526281592261695,0.008808211919286171,0.41342133123726504
MMP2,-2.6718108617018554,3.3078711515194374,8.159375616436447,0.008916172575944042,0.41608255963015267
SOX6,3.4827086699553944,5.083368757824307,8.496161628639777,0.00894067960235965,0.41608255963015267
